tgn_uri,pleiades_uri,tgn_label,tgn_parentstring
http://vocab.getty.edu/tgn/1043354,http://pleiades.stoa.org/places/432720,Bacoli,"Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043398,http://pleiades.stoa.org/places/442496,Banzi,"Potenza, Basilicata, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043472,http://pleiades.stoa.org/places/471948,Benetutti,"Sassari, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043571,http://pleiades.stoa.org/places/383740,Pedo,"Cuneo, Piemonte, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043633,http://pleiades.stoa.org/places/383602,Brescello,"Reggio nell'Emilia, Emilia-Romagna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043709,http://pleiades.stoa.org/places/432733,Caiazzo,"Caserta, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043848,http://pleiades.stoa.org/places/462130,Capizzi,"Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043863,http://pleiades.stoa.org/places/432751,Capri,"Capri, Isola di, Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043863,http://pleiades.stoa.org/places/432752,Capri,"Capri, Isola di, Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1044000,http://pleiades.stoa.org/places/432709,Aufidena,"L'Aquila, Abruzzi, Italia, Europe, World"
http://vocab.getty.edu/tgn/1044311,http://pleiades.stoa.org/places/413264,Colfiorito,"Perugia, Umbria, Italia, Europe, World"
http://vocab.getty.edu/tgn/1044570,http://pleiades.stoa.org/places/462084,Favignana,"Favignana, Isola, Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1044659,http://pleiades.stoa.org/places/471947,Fordongianus,"Oristano, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045007,http://pleiades.stoa.org/places/1094,Lampedusa,"Lampedusa, Isola di, Pelagie, Isole, Agrigento, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045065,http://pleiades.stoa.org/places/764317939,Leonforte,"Enna, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045074,http://pleiades.stoa.org/places/442632,Leuca,"Lecce, Puglia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045076,http://pleiades.stoa.org/places/462428,Levanzo,"Levanzo, Isola di, Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045081,http://pleiades.stoa.org/places/462424,Licata,"Agrigento, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045100,http://pleiades.stoa.org/places/772,Linosa,"Linosa, Isola di, Pelagie, Isole, Agrigento, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045117,http://pleiades.stoa.org/places/452369,Locri,"Reggio di Calabria, Calabria, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045284,http://pleiades.stoa.org/places/413193,Marta,"Viterbo, Lazio, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045385,http://pleiades.stoa.org/places/462312,Mineo,"Catania, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045409,http://pleiades.stoa.org/places/462378,Modica,"Ragusa, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045729,http://pleiades.stoa.org/places/471987,Olbia,"Sassari, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045778,http://pleiades.stoa.org/places/413234,Ortona,"Chieti, Abruzzi, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045872,http://pleiades.stoa.org/places/462168,Pantelleria,"Pantelleria, Isola di, Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1045883,http://pleiades.stoa.org/places/462413,Partinico,"Palermo, Sicilia, Italia, Europe, World"
